NOME,SIMBOLO_NOMEACAO,TITULO_PORTARIA,DATA_PORTARIA,LINK_PORTARIA
mário fernando de almeida ribeiro,102.4,"PORTARIA Nº 19, DE 11 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=41
milena luz barbosa,101.4,"PORTARIA Nº 119, DE 10 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=46
vivian vivas,102.4,"PORTARIA Nº 121,  DE 10 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=46
thaisis barboza de souza,101.4,"PORTARIA Nº 25,  DE  3 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=46
adriene domingues costa,101.4,PORTARIAS DE 10 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=40
aristia josé lisboa,101.2,PORTARIAS DE 10 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=40
luciano flores de lima,101.3,PORTARIAS DE 10 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=40
guilherme vargas da costa,101.4,PORTARIAS DE 10 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=40
umberto ramos rodrigues,101.4,PORTARIAS DE 10 DE JANEIRO DE 2019,14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=40
thiago ferreira de araújo,102.3,"PORTARIA Nº 159, DE 11 DE JANEIRO DE 2019",14/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=14/01/2019&jornal=529&pagina=6
arruaires bezerra de lima,102.1,"PORTARIA N° 156/SEORI/SG-MD, DE 11 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=10
luciana rodrigues dias,102.3,"PORTARIA Nº 9, DE 14 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=10
gustavo müller de podestà,102.3,"PORTARIA Nº 98, DE 11 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=34
maria rita lorenzetti de carvalho,101.1,"PORTARIA Nº 98, DE 11 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=34
janice almeida menezes dos santos,102.2,"PORTARIA N° 179/CISET-MD, DE 14 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=10
fernando mafra pelanda,101.4,"PORTARIA Nº 22, DE 11 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=34
josie priscila pereira de jesus,101.4,"PORTARIA Nº 99, DE 14 DE JANEIRO DE 2019",15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=16
andressa nervino,101.4,PORTARIAS DE 14 DE JANEIRO DE 2019,15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=33
déborah domiceli de oliveira cruz,101.4,PORTARIAS DE 14 DE JANEIRO DE 2019,15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=33
aluf alba vilar elias,101.4,PORTARIAS DE 14 DE JANEIRO DE 2019,15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=33
wagner mesquita de oliveira,101.4,PORTARIAS DE 14 DE JANEIRO DE 2019,15/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=15/01/2019&jornal=529&pagina=33
carolinna cavalcante mota ribeiro,102.3,PORTARIAS DE 14 DE JANEIRO DE 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=47
luciano magalhaes lima,101.1,Portarias de 15 de janeiro de 2019,16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=51
fernanda tsunematsu,102.4,"PORTARIA Nº 40, DE 15 DE JANEIRO DE 2019",16/01/2019,http://pesquisa.in.gov.br/imprensa/jsp/visualiza/index.jsp?data=16/01/2019&jornal=529&pagina=15
